Time: 370.351, x: 2.60458, y: 2.50732, z: 1.25
Time: 370.392, x: 2.61203, y: 2.5141, z: 1.25
Time: 370.431, x: 2.61928, y: 2.52071, z: 1.25
Time: 370.472, x: 2.62653, y: 2.52732, z: 1.25
Time: 370.512, x: 2.63378, y: 2.53393, z: 1.25
Time: 370.552, x: 2.64103, y: 2.54054, z: 1.25
Time: 370.592, x: 2.6483, y: 2.54717, z: 1.25
Time: 370.63, x: 2.65556, y: 2.55378, z: 1.25
Time: 370.67, x: 2.66281, y: 2.5604, z: 1.25
Time: 370.709, x: 2.67007, y: 2.56702, z: 1.25
Time: 370.749, x: 2.67733, y: 2.57365, z: 1.25
Time: 370.789, x: 2.6846, y: 2.58027, z: 1.25
Time: 370.827, x: 2.69186, y: 2.5869, z: 1.25
Time: 370.865, x: 2.69913, y: 2.59353, z: 1.25
Time: 370.903, x: 2.7064, y: 2.60016, z: 1.25
Time: 370.94, x: 2.71367, y: 2.60679, z: 1.25
Time: 370.978, x: 2.72095, y: 2.61342, z: 1.25
Time: 371.016, x: 2.72823, y: 2.62006, z: 1.25
Time: 371.054, x: 2.7355, y: 2.62669, z: 1.25
Time: 371.093, x: 2.74278, y: 2.63332, z: 1.25
Time: 371.131, x: 2.74968, y: 2.63962, z: 1.25
Time: 371.169, x: 2.75491, y: 2.64437, z: 1.25
Time: 371.206, x: 2.76218, y: 2.651, z: 1.25
Time: 371.244, x: 2.76965, y: 2.65781, z: 1.25
Time: 371.282, x: 2.77693, y: 2.66444, z: 1.25
Time: 371.321, x: 2.78422, y: 2.67108, z: 1.25
Time: 371.359, x: 2.79152, y: 2.67773, z: 1.25
Time: 371.397, x: 2.79881, y: 2.68437, z: 1.25
Time: 371.434, x: 2.80612, y: 2.69101, z: 1.25
Time: 371.472, x: 2.81343, y: 2.69766, z: 1.25
Time: 371.51, x: 2.82074, y: 2.7043, z: 1.25
Time: 371.548, x: 2.82787, y: 2.71078, z: 1.25
Time: 371.585, x: 2.83295, y: 2.71539, z: 1.25
Time: 371.624, x: 2.84034, y: 2.7221, z: 1.25
Time: 371.661, x: 2.8477, y: 2.72878, z: 1.25
Time: 371.699, x: 2.85505, y: 2.73545, z: 1.25
Time: 371.737, x: 2.86241, y: 2.74212, z: 1.25
Time: 371.775, x: 2.86977, y: 2.7488, z: 1.25
Time: 371.813, x: 2.87714, y: 2.75548, z: 1.25
Time: 371.852, x: 2.88452, y: 2.76216, z: 1.25
Time: 371.89, x: 2.8919, y: 2.76885, z: 1.25001
Time: 371.928, x: 2.89935, y: 2.77558, z: 1.25002
Time: 371.966, x: 2.90497, y: 2.78067, z: 1.25002
Time: 372.005, x: 2.91248, y: 2.78746, z: 1.25003
Time: 372.044, x: 2.92081, y: 2.79502, z: 1.25003
Time: 372.084, x: 2.92819, y: 2.8017, z: 1.25003
Time: 372.123, x: 2.93557, y: 2.80839, z: 1.25004
Time: 372.162, x: 2.94301, y: 2.81513, z: 1.25004
Time: 372.201, x: 2.9504, y: 2.82183, z: 1.25005
Time: 372.241, x: 2.95781, y: 2.82854, z: 1.25005
Time: 372.28, x: 2.9652, y: 2.83526, z: 1.25005
Time: 372.32, x: 2.9726, y: 2.84198, z: 1.25005
Time: 372.359, x: 2.98, y: 2.8487, z: 1.25005
Time: 372.397, x: 2.98738, y: 2.85541, z: 1.25004
Time: 372.436, x: 2.99478, y: 2.86213, z: 1.25004
Time: 372.476, x: 3.00214, y: 2.86882, z: 1.25003
Time: 372.515, x: 3.00946, y: 2.87546, z: 1.25003
Time: 372.553, x: 3.01696, y: 2.88228, z: 1.25003
Time: 372.594, x: 3.02436, y: 2.88902, z: 1.25004
Time: 372.634, x: 3.03171, y: 2.8957, z: 1.25004
Time: 372.673, x: 3.03909, y: 2.90242, z: 1.25004
Time: 372.714, x: 3.0487, y: 2.91117, z: 1.25004
Time: 372.754, x: 3.0562, y: 2.91801, z: 1.25003
Time: 372.794, x: 3.06354, y: 2.92471, z: 1.25003
Time: 372.834, x: 3.07083, y: 2.93137, z: 1.25002
Time: 372.874, x: 3.07816, y: 2.93806, z: 1.25002
Time: 372.914, x: 3.08543, y: 2.9447, z: 1.25002
Time: 372.955, x: 3.09274, y: 2.95137, z: 1.25002
Time: 372.996, x: 3.09999, y: 2.95801, z: 1.25003
Time: 373.036, x: 3.10727, y: 2.96465, z: 1.25003
Time: 373.075, x: 3.11455, y: 2.9713, z: 1.25003
